pDC,t.user,t.system,t.elapsed
-96.90939881925577,375.6079999999929,5.157999999999902,112.90699999999924
-96.94488368255904,370.57700000001023,5.664000000000215,112.80999999999767
-96.94033630405413,381.44599999999446,5.152999999999906,115.7129999999961
-96.94045674366022,370.75599999999577,5.899999999999977,112.39300000000367
-96.928422854972,372.3730000000014,5.447000000000003,116.72000000000116
-96.9431857556368,376.60699999999997,5.656999999999925,112.62999999999738
-96.94197192784735,368.42100000000755,5.298999999999978,112.55100000000675
-96.92197779952804,379.3339999999898,6.073999999999955,119.2760000000053
-96.94549266429185,375.36800000000767,5.0750000000000455,113.65899999999965
-96.89934419315667,366.6429999999946,5.318000000000097,113.875
-96.93758976565677,377.60200000000805,5.7349999999999,114.47299999999814
-96.9588622067607,361.62699999998586,6.602000000000089,112.37200000000303
-96.93778847782032,367.2660000000087,5.603999999999928,113.45999999999913
-96.94834519166473,358.06500000000415,6.316000000000145,108.98300000000017
-96.94821443695116,376.2869999999966,5.791000000000054,117.28300000000309
-96.93071984755085,374.23499999999694,5.304000000000087,113.63100000000122
-96.92017977832272,381.8549999999959,6.1170000000000755,115.59500000000116
-96.93918326315448,365.0680000000066,5.791999999999803,108.34799999999814
-96.9391396982211,375.44600000000173,5.016000000000076,112.91100000000006
-96.94197000182277,367.4189999999944,5.648999999999887,111.70900000000256
-96.9189231536425,378.41599999999744,5.488000000000056,113.9690000000046
-96.94627039347951,360.07100000000537,5.821000000000026,109.59399999999732
-96.94411520113687,367.50100000000384,5.261000000000195,117.34300000000076
-96.9709906476297,383.45299999999224,6.705999999999904,121.21600000000035
-96.93206138937566,365.51500000000306,5.8120000000001255,111.92799999999988
-96.91604154167398,380.37500000000364,5.9109999999999445,118.92199999999866
-96.91715819564571,368.03099999999176,5.4920000000000755,115.24399999999878
-96.94879859776933,382.30000000000655,5.267000000000053,115.37199999999575
-96.91573694594302,375.7809999999954,6.154000000000224,117.03600000000006
-96.93809144198643,360.5279999999948,5.934999999999832,112.47499999999854
-96.91141524322535,379.1780000000035,5.853999999999928,114.28500000000349
-96.94536869479721,369.123999999998,5.704000000000065,112.15699999999924
-96.91715532420442,370.8800000000101,6.234000000000151,115.5570000000007
-96.93973195106133,370.5649999999914,6.169999999999959,112.67700000000332
-96.92773920968632,370.14900000001035,5.509999999999991,117.14500000000407
-96.94343290861389,369.799999999992,6.830000000000041,112.31499999999505
-96.92276050006481,379.2179999999971,5.777999999999906,114.15899999999965
-96.94026442371697,381.23800000000665,5.275999999999954,117.12799999999697
-96.9233332660051,363.55199999999786,5.069000000000074,108.97699999999895
-96.94472536187303,373.62599999999475,5.947000000000116,113.85599999999977
-96.94522828608086,376.926000000014,5.182999999999879,116.64999999999418
-96.95823230621443,374.5919999999951,5.898000000000138,113.7870000000039
-96.9609958881822,368.5729999999967,4.851999999999862,113.84999999999854
-96.92978005742656,370.0440000000053,4.833000000000084,113.70699999999488
-96.93145363396404,370.48499999998603,6.9809999999999945,112.6530000000057
-96.95620912183014,380.5820000000149,7.160999999999831,116.1730000000025
-96.92653513459045,380.3169999999973,5.518000000000143,116.36499999999796
-96.9347693366331,375.5889999999872,5.447999999999865,112.64700000000448
-96.91894104871085,377.51900000000387,5.347000000000094,114.64899999999761
-96.9270912336633,378.4960000000101,5.611000000000104,113.59700000000157
-96.94600710186312,382.3310000000074,7.016999999999939,119.1820000000007
-96.9465789236305,364.9239999999827,5.969999999999914,112.03100000000268
-96.93709137820943,376.0659999999971,6.249000000000024,117.06199999999808
-96.93046581367369,361.2270000000244,7.100999999999885,113.4910000000018
-96.93157444863613,382.7419999999893,5.944000000000074,118.54200000000128
-96.96442483464246,381.6890000000094,6.051000000000045,117.24199999999837
-96.93597199247395,369.74499999999534,5.758999999999901,112.28199999999924
-96.9269029918354,372.76900000000387,5.961000000000126,113.63300000000163
-96.93884723661725,372.74199999999473,5.625000000000114,113.45300000000134
-96.92208290227246,363.32199999999466,5.698999999999955,110.82800000000134
-96.93273830730757,379.84099999999853,7.307999999999879,114.30600000000413
-96.92659216335495,375.3530000000137,6.947000000000116,117.45200000000477
-96.95720175514477,370.2369999999937,5.822999999999979,110.54200000000128
-96.9543226854655,384.6090000000022,6.576000000000022,119.19499999999971
-96.94364864154949,379.7799999999788,6.723999999999933,115.05299999999988
-96.94171342585337,377.41500000001906,5.9520000000002256,116.40699999999924
-96.91585426464259,368.6289999999972,6.307000000000016,113.77900000000227
-96.93797347400188,384.251000000002,6.798999999999978,116.27100000000064
-96.94559716913516,388.57199999999466,6.037000000000148,116.5969999999943
-96.91440858501075,383.10599999999795,5.077999999999747,115.86300000000483
-96.92461546098816,373.4519999999993,6.024000000000115,113.6510000000053
-96.90508790512318,370.79799999999886,5.385999999999967,117.28500000000349
-96.96271158044334,373.6020000000117,6.4529999999999745,116.81699999999546
-96.94110041824247,386.2009999999791,5.68200000000013,118.97000000000116
-96.93320232704215,376.6460000000134,5.544999999999845,113.80999999999767
-96.92873302478456,383.0450000000037,6.858999999999924,119.13900000000285
-96.93590501700857,369.6449999999895,4.914000000000101,114.38100000000122
-96.92462454456286,373.7030000000086,5.12399999999991,112.25
-96.92997547289372,364.94499999999425,6.112999999999943,112.67799999999988
-96.91987550434504,391.5470000000041,5.544999999999845,118.78100000000268
-96.9828692351191,381.84700000000885,5.378000000000156,116.84300000000076
-96.91914283396432,374.503999999999,5.495999999999981,115.55400000000373
-96.928673715906,373.2359999999899,5.194000000000074,113.1339999999982
-96.93338509969355,365.00300000000243,5.185000000000173,113.625
-96.95821467059709,358.07300000000214,5.191000000000145,108.93100000000413
-96.98063507306657,381.9470000000074,5.394999999999982,114.2190000000046
-96.93133351672911,376.5129999999972,5.4070000000002665,113.11699999999837
-96.91993644910917,360.4339999999793,5.478999999999928,111.38200000000506
-96.93643684752088,378.0719999999983,6.519999999999868,116.75600000000122
-96.94507871566995,376.7860000000128,5.985000000000127,113.54899999999907
-96.92248099505868,386.56400000001304,5.835999999999899,120.87299999999959
-96.93592895973659,387.636999999997,6.069999999999823,122.78699999999662
-96.92921827094304,367.39300000000003,5.725999999999999,112.54299999999785
-96.9082749456384,374.1819999999807,6.15199999999993,118.30999999999767
-96.93468056359308,383.57600000000457,5.274000000000001,115.83000000000175
-96.94513413553487,365.73600000001534,4.833000000000084,111.18000000000029
-96.98699524673013,364.3629999999757,5.140999999999963,110.9210000000021
-96.96816197207995,372.34900000001653,5.235000000000014,115.25299999999697
-96.93409842498649,364.87999999998465,5.687999999999988,110.78800000000047
-96.94991927161873,366.7290000000248,5.18100000000004,112.33599999999569
