bf,pC,pCD,pD,t.user,t.system,t.elapsed
7,6.666666666666667e-5,4.6666666666666666e-4,-99.3205661999653,278.9920000000011,3.933999999999969,84.81499999999505
1.25,2.666666666666667e-4,3.333333333333333e-4,-99.29862294096834,271.23199999999815,4.117999999999938,83.60800000000017
4,6.666666666666667e-5,2.666666666666667e-4,-99.31205904864842,264.05800000000636,3.51400000000001,78.75200000000041
0.25,2.666666666666667e-4,6.666666666666667e-5,-99.30569493719732,279.57000000000244,3.6409999999999627,86.58499999999913
0.6666666666666666,2e-4,1.3333333333333334e-4,-99.29541576816229,274.2520000000022,3.4029999999999063,80.90899999999965
1.5,2.666666666666667e-4,4e-4,-99.3207643533147,269.84899999999925,4.900999999999954,81.55299999999988
0.6666666666666666,2e-4,1.3333333333333334e-4,-99.30746343986954,270.1869999999981,3.603999999999928,81.35900000000402
0,6.666666666666667e-5,0,-99.30387371740844,265.18799999999555,3.741999999999848,79.9910000000018
0.625,5.333333333333334e-4,3.333333333333333e-4,-99.31391232749823,273.4389999999994,4.949999999999818,86.6359999999986
Inf,0,5.333333333333334e-4,-99.31162264812367,275.49999999999636,3.83500000000015,84.49299999999494
1,2.666666666666667e-4,2.666666666666667e-4,-99.30195680882146,272.0480000000025,3.6099999999999,79.59200000000419
2,2.666666666666667e-4,5.333333333333334e-4,-99.31592256293902,269.4720000000034,3.78999999999985,84.16000000000349
0.75,2.666666666666667e-4,2e-4,-99.31311187756218,265.2860000000037,3.8640000000000327,80.28899999999703
1.8333333333333333,4e-4,7.333333333333333e-4,-99.31408401516244,266.4260000000004,4.163999999999987,81.0679999999993
2,6.666666666666667e-5,1.3333333333333334e-4,-99.3100845108362,267.70499999999356,4.58199999999988,80.78499999999622
1.75,2.666666666666667e-4,4.6666666666666666e-4,-99.29769391863796,271.6740000000027,4.837000000000103,81.73500000000058
2.5,1.3333333333333334e-4,3.333333333333333e-4,-99.31582598458907,279.17799999999806,4.663000000000125,83.54000000000087
1,2e-4,2e-4,-99.30767606574074,273.2009999999964,3.710999999999899,82.22200000000157
1.7999999999999998,3.333333333333333e-4,6e-4,-99.30958980589818,272.4210000000103,4.205000000000041,83.04100000000471
1.5,1.3333333333333334e-4,2e-4,-99.31739639855635,273.80499999999483,4.410000000000082,83.66900000000169
3,6.666666666666667e-5,2e-4,-99.28973822503791,275.8999999999951,4.20799999999997,83.13799999999901
3,6.666666666666667e-5,2e-4,-99.29880088540575,271.3750000000073,3.4039999999998827,81.17700000000332
6,6.666666666666667e-5,4e-4,-99.32021967460612,269.4710000000023,3.518000000000029,82.71600000000035
1.5,2.666666666666667e-4,4e-4,-99.3168425378437,273.05899999998746,5.026999999999816,82.5399999999936
8,6.666666666666667e-5,5.333333333333334e-4,-99.28466116222236,267.06700000001274,3.590000000000259,80.99399999999878
1.3333333333333333,2e-4,2.666666666666667e-4,-99.31515513172602,272.6099999999933,4.231999999999857,82.80899999999383
3,1.3333333333333334e-4,4e-4,-99.3035055048554,262.24999999999727,4.3129999999998745,79.1359999999986
3,1.3333333333333334e-4,4e-4,-99.29302552453515,271.16999999999916,3.880999999999972,81.53500000000349
1.3333333333333333,2e-4,2.666666666666667e-4,-99.2994741637745,262.66499999999724,3.941000000000031,79.16799999999785
5,6.666666666666667e-5,3.333333333333333e-4,-99.29898447661712,265.9130000000041,3.884000000000242,83.3379999999961
5,6.666666666666667e-5,3.333333333333333e-4,-99.323797421421,269.3480000000054,3.7869999999996935,79.79699999999866
0.75,2.666666666666667e-4,2e-4,-99.28808976131216,273.8869999999979,4.205999999999904,82.54899999999907
4,6.666666666666667e-5,2.666666666666667e-4,-99.29458169540656,266.69899999999325,3.991999999999962,79.37800000000425
8.999999999999998,6.666666666666667e-5,6e-4,-99.30513111654045,270.87600000000384,3.97300000000007,81.26499999999942
0.3333333333333333,2e-4,6.666666666666667e-5,-99.31076510852816,271.55200000000605,3.88799999999992,85.91900000000169
1.3333333333333333,2e-4,2.666666666666667e-4,-99.2953731278456,270.8629999999903,3.8700000000000045,82.41500000000087
8.999999999999998,6.666666666666667e-5,6e-4,-99.30618957812958,265.174,4.4380000000002156,79.51200000000244
1,2e-4,2e-4,-99.31301758535773,270.1289999999999,4.198999999999955,81.81700000000274
0.4285714285714286,4.6666666666666666e-4,2e-4,-99.30901862005612,282.90500000001066,3.5310000000000628,90.00799999999435
1.5,2.666666666666667e-4,4e-4,-99.30988766047192,275.0219999999881,4.051000000000158,82.89199999999983
0.8571428571428572,4.6666666666666666e-4,4e-4,-99.2828964428571,271.64600000001155,4.5209999999998445,81.7280000000028
1.5,2.666666666666667e-4,4e-4,-99.29769861758406,270.03499999998894,3.8029999999999973,81.24599999999919
0.5,2.666666666666667e-4,1.3333333333333334e-4,-99.29671075275479,276.2469999999985,4.3829999999999245,84.22099999999773
2.333333333333333,2e-4,4.6666666666666666e-4,-99.30691010494536,266.2750000000042,4.57000000000005,81.0280000000057
2,6.666666666666667e-5,1.3333333333333334e-4,-99.31365129173147,269.0119999999961,4.191000000000031,81.41100000000006
4,6.666666666666667e-5,2.666666666666667e-4,-99.30639824309077,263.02100000000155,3.9120000000000346,79.12099999999919
1.25,2.666666666666667e-4,3.333333333333333e-4,-99.32077339262959,268.1760000000122,4.047000000000139,80.01599999999598
6,6.666666666666667e-5,4e-4,-99.29256213536128,273.8939999999893,3.839000000000169,83.67200000000594
1.6666666666666665,2e-4,3.333333333333333e-4,-99.32199985266752,264.06700000000546,3.584999999999809,79.62900000000081
1.25,2.666666666666667e-4,3.333333333333333e-4,-99.28946802615191,266.8799999999974,3.94399999999996,80.5659999999989
4,1.3333333333333334e-4,5.333333333333334e-4,-99.32592605046099,271.4920000000029,4.642999999999802,84.99899999999616
3,1.3333333333333334e-4,4e-4,-99.31633445052103,268.29299999999876,4.286999999999807,79.95500000000175
0.22222222222222227,6e-4,1.3333333333333334e-4,-99.29159000886928,269.8939999999948,4.600000000000023,81.83299999999872
2.6666666666666665,2e-4,5.333333333333334e-4,-99.3018500774239,269.84999999999945,3.447999999999979,82.86799999999494
2,2e-4,4e-4,-99.29904291285142,289.6160000000036,3.936999999999898,85.53899999999703
0.5,2.666666666666667e-4,1.3333333333333334e-4,-99.30323465654686,264.0030000000015,4.890999999999963,82.44000000000233
2,1.3333333333333334e-4,2.666666666666667e-4,-99.30567193649472,271.1689999999953,3.3880000000000337,83.27599999999802
1.6666666666666665,2e-4,3.333333333333333e-4,-99.30320895060568,274.15200000000095,3.7430000000001655,81.25600000000122
0.25,2.666666666666667e-4,6.666666666666667e-5,-99.30797456713974,278.11599999999726,4.714999999999918,85.79000000000087
3,1.3333333333333334e-4,4e-4,-99.31133217420673,266.5640000000003,4.033999999999992,80.8159999999989
